CBSA,CITY,STATE,Pollutant,Trend Statistic,Number of Trends Sites,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Lat,Lon
25260,Hanford-Corcoran,California,PM2.5,Weighted Annual Mean,1,16.4,19.2,21.5,16.2,17.4,17.5,16.9,18.4,15.8,17.7,17.9,17.1,16.3,15.6,15.4,15.1,14.8,16.0,17.1,12.1,19.1,14.8,36.097359,-119.565895
25260,Hanford-Corcoran,California,PM2.5,98th Percentile,1,55.0,121.0,77.0,49.0,50.0,78.0,64.0,60.0,48.0,53.0,47.0,53.0,60.0,66.0,71.0,58.0,46.0,70.0,78.0,45.0,83.0,52.0,36.097359,-119.565895
31080,Los Angeles-Long Beach-Anaheim,California,CO,2nd Max,11,4.4,3.5,3.1,2.9,2.7,2.3,2.2,2.0,1.8,1.7,1.6,1.6,1.6,1.5,1.5,1.4,1.2,1.3,1.3,1.2,1.3,1.2,33.675842,-118.0217
31080,Los Angeles-Long Beach-Anaheim,California,NO2,Annual Mean,11,29.0,28.0,27.0,26.0,23.0,22.0,22.0,22.0,21.0,19.0,18.0,17.0,16.0,16.0,15.0,14.0,14.0,14.0,13.0,12.0,12.0,13.0,33.675842,-118.0217
31080,Los Angeles-Long Beach-Anaheim,California,NO2,98th Percentile,7,96.0,91.0,86.0,90.0,80.0,70.0,73.0,73.0,72.0,64.0,60.0,58.0,56.0,55.0,56.0,53.0,51.0,50.0,49.0,45.0,47.0,47.0,33.675842,-118.0217
31080,Los Angeles-Long Beach-Anaheim,California,O3,4th Max,13,0.09,0.087,0.092,0.1,0.089,0.086,0.091,0.087,0.09,0.087,0.074,0.078,0.08,0.076,0.082,0.082,0.082,0.09,0.082,0.08,0.096,0.076,33.675842,-118.0217
31080,Los Angeles-Long Beach-Anaheim,California,PM10,2nd Max,6,77.0,77.3,73.3,73.5,65.2,51.7,59.5,83.5,65.8,53.3,41.8,48.7,52.5,55.2,60.2,60.3,67.8,57.2,60.3,71.7,73.2,58.5,33.675842,-118.0217
31080,Los Angeles-Long Beach-Anaheim,California,PM2.5,Weighted Annual Mean,7,18.9,19.9,19.3,17.7,16.7,15.0,13.8,14.3,13.2,12.2,10.2,10.9,10.5,10.3,10.0,9.7,9.7,10.3,10.9,9.2,12.1,11.0,33.675842,-118.0217
31080,Los Angeles-Long Beach-Anaheim,California,PM2.5,98th Percentile,7,55.0,54.0,49.0,49.0,49.0,43.0,34.0,43.0,33.0,33.0,27.0,29.0,26.0,25.0,27.0,29.0,24.0,25.0,29.0,23.0,42.0,34.0,33.675842,-118.0217
31460,Madera,California,NO2,Annual Mean,1,13.0,11.0,12.0,10.0,10.0,10.0,11.0,10.0,10.0,9.0,8.0,8.0,8.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,36.9622745,-120.0594685
