CBSA,CITY,STATE,Pollutant,Trend Statistic,Number of Trends Sites,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31460,Madera,California,NO2,Annual Mean,1,13,11,12,10,10,10,11,10,10,9,8,8,8,7,6,6,6,6,6,6,6,6
31460,Madera,California,O3,4th Max,1,0.088,0.09,0.096,0.093,0.078,0.076,0.081,0.077,0.091,0.085,0.078,0.08,0.078,0.079,0.088,0.08,0.081,0.081,0.072,0.075,0.081,0.083
32900,Merced,California,NO2,Annual Mean,1,12,12,12,12,11,11,10,9,9,8,7,7,7,8,8,7,7,7,7,6,7,7
32900,Merced,California,O3,4th Max,1,0.103,0.096,0.105,0.107,0.096,0.083,0.087,0.087,0.105,0.08,0.09,0.082,0.079,0.083,0.082,0.083,0.082,0.078,0.079,0.072,0.079,0.079
32900,Merced,California,PM10,2nd Max,1,89,100,79,73,54,68,80,65,74,60,53,70,60,69,81,64,62,94,80,80,123,79
32900,Merced,California,PM2.5,Weighted Annual Mean,1,16.7,14.5,18.7,15.7,15.2,14.1,14.8,15.2,14.4,13.6,11.2,10.4,9.5,13.5,11.2,12.6,11.2,12.6,14.2,9.6,15.1,11.1
32900,Merced,California,PM2.5,98th Percentile,1,68,49,58,45,47,49,53,53,51,50,39,39,42,67,46,39,35,40,53,30,77,41
33700,Modesto,California,NO2,Annual Mean,1,16,17,17,15,14,13,13,12,12,11,10,11,11,11,10,9,9,10,10,9,9,7
33700,Modesto,California,NO2,98th Percentile,1,55,62,68,58,55,53,51,46,52,48,39,41,44,46,41,36,42,46,47,44,41,34
33700,Modesto,California,O3,4th Max,2,0.089,0.093,0.095,0.088,0.084,0.084,0.091,0.076,0.098,0.083,0.08,0.081,0.085,0.078,0.081,0.084,0.083,0.084,0.081,0.079,0.079,0.08
33700,Modesto,California,PM10,2nd Max,1,95,124,83,75,55,74,88,71,79,62,68,67,77,77,54,64,57,107,110,93,134,84
33700,Modesto,California,PM2.5,Weighted Annual Mean,1,18.7,15.6,18.7,14.5,13.6,13.9,14.8,15,16,13,12.1,14.7,11.9,14.3,11.4,9.1,11.1,12.9,15.2,7.7,14.5,15
33700,Modesto,California,PM2.5,98th Percentile,1,71,69,69,47,45,55,52,57,54,55,37,55,41,56,50,31,36,51,100,28,82,43
34900,Napa,California,O3,4th Max,1,0.061,0.06,0.068,0.067,0.065,0.053,0.064,0.055,0.067,0.064,0.067,0.064,0.058,0.055,0.062,0.066,0.058,0.065,0.054,0.06,0.06,0.06
37100,Oxnard-Thousand Oaks-Ventura,California,NO2,Annual Mean,2,17,15,13,13,12,13,11,11,10,10,9,8,8,8,8,7,7,7,7,6,6,6
37100,Oxnard-Thousand Oaks-Ventura,California,NO2,98th Percentile,2,61,55,51,52,47,47,43,43,43,39,39,37,36,35,36,32,32,33,33,30,29,27
37100,Oxnard-Thousand Oaks-Ventura,California,O3,4th Max,5,0.084,0.088,0.084,0.087,0.084,0.08,0.081,0.075,0.079,0.079,0.074,0.074,0.071,0.068,0.076,0.069,0.071,0.074,0.066,0.067,0.075,0.066
37100,Oxnard-Thousand Oaks-Ventura,California,PM2.5,Weighted Annual Mean,4,13.6,13.8,13,12.2,11.3,10.4,9.8,10.7,10.2,10.2,8.6,8.5,9.3,8.7,9.3,8.5,8.7,8.8,8.9,6.8,7.6,7.5
37100,Oxnard-Thousand Oaks-Ventura,California,PM2.5,98th Percentile,4,37,37,30,28,30,23,24,27,21,20,18,18,19,19,19,21,18,21,23,15,29,18
39780,Red Bluff,California,O3,4th Max,2,0.081,0.079,0.087,0.082,0.076,0.079,0.08,0.077,0.084,0.078,0.077,0.072,0.076,0.072,0.072,0.07,0.079,0.074,0.079,0.066,0.068,0.076
39820,Redding,California,O3,4th Max,3,0.077,0.068,0.075,0.075,0.076,0.077,0.076,0.074,0.08,0.069,0.066,0.063,0.066,0.061,0.069,0.067,0.068,0.065,0.071,0.061,0.065,0.068
39820,Redding,California,PM10,2nd Max,2,42.5,46.5,51,41.5,43,34.5,47.5,36.5,113,33,26,31.5,36,33.5,33.5,31.5,32,59,114.5,28.5,97.5,100
39820,Redding,California,PM2.5,Weighted Annual Mean,1,9.2,9.2,10.5,7.5,7.2,7.3,8.7,5.6,14.7,5.8,4.6,5.4,5.9,5.9,5.2,7.5,5.2,7.8,15.9,6.7,10.2,11.8
39820,Redding,California,PM2.5,98th Percentile,1,29,29,40,16,18,19,29,17,97,20,10,16,17,18,14,20,13,32,103,23,66,106
40140,Riverside-San Bernardino-Ontario,California,CO,2nd Max,7,2.1,1.9,1.9,2.2,1.7,1.5,1.5,1.5,1.1,1.1,1.2,1.1,1,1,1.3,1.5,1.2,1,1,0.8,1,0.9
40140,Riverside-San Bernardino-Ontario,California,NO2,Annual Mean,10,23,23,23,21,19,20,19,18,16,15,15,14,14,13,13,12,12,12,12,11,11,12
40140,Riverside-San Bernardino-Ontario,California,NO2,98th Percentile,6,81,82,78,78,74,70,69,64,62,55,54,55,58,55,52,51,48,48,46,45,48,47
40140,Riverside-San Bernardino-Ontario,California,O3,4th Max,17,0.101,0.109,0.108,0.113,0.102,0.101,0.103,0.1,0.103,0.094,0.092,0.094,0.093,0.089,0.089,0.092,0.093,0.096,0.096,0.088,0.098,0.091
40140,Riverside-San Bernardino-Ontario,California,PM10,2nd Max,13,87.9,89.8,109.5,97.6,79.1,73.1,87.6,110.6,75.7,61.7,50,52.5,47.8,71.8,73,82.8,84.2,88.4,66.5,80.2,84.5,71.6
40140,Riverside-San Bernardino-Ontario,California,PM2.5,Weighted Annual Mean,5,19.9,21,19.9,17.9,16.7,15.2,14.3,14.8,12.1,11.5,9.8,10.3,10.4,10.2,9.8,9.4,9.9,10,9.8,9.3,11,10.6
40140,Riverside-San Bernardino-Ontario,California,PM2.5,98th Percentile,5,52,55,47,47,49,39,36,47,33,28,23,24,25,26,28,29,24,22,22,26,30,28
40140,Riverside-San Bernardino-Ontario,California,SO2,99th Percentile,2,11,10,10,9,9,12,11,10,7,8,10,9,7,6,5,5,5,16,5,6,4,4
40900,Sacramento--Roseville--Arden-Arcade,California,CO,2nd Max,1,4.6,5,3.5,3.8,2.8,3.3,3,2.8,2.1,2.2,1.5,2.2,1.8,2.1,1.7,1.9,1.7,1.6,3.3,1.2,2,1.1
40900,Sacramento--Roseville--Arden-Arcade,California,NO2,Annual Mean,5,12,11,12,11,10,10,10,10,9,8,7,8,7,7,6,6,5,5,5,4,4,4
40900,Sacramento--Roseville--Arden-Arcade,California,NO2,98th Percentile,3,53,56,59,56,49,47,49,46,48,41,43,41,41,41,38,38,36,33,35,34,31,28
40900,Sacramento--Roseville--Arden-Arcade,California,O3,4th Max,12,0.088,0.088,0.092,0.089,0.079,0.087,0.091,0.08,0.089,0.083,0.077,0.077,0.082,0.071,0.074,0.074,0.077,0.073,0.076,0.067,0.073,0.075
40900,Sacramento--Roseville--Arden-Arcade,California,PM10,2nd Max,4,64,65.3,60.3,49,68,60.5,63.8,58.5,74.5,42.8,42.5,49,35.3,50.5,36.3,39.6,36.8,62.3,162.8,54,119.5,50.3
40900,Sacramento--Roseville--Arden-Arcade,California,PM2.5,Weighted Annual Mean,3,11.6,11.3,12.7,10,10.4,9.8,10.7,9.5,10.2,8.5,6.8,8.7,7.1,8.4,7.5,8.5,7,8.4,12.1,7.4,11.6,9.9
40900,Sacramento--Roseville--Arden-Arcade,California,PM2.5,98th Percentile,3,43,46,45,31,33,33,37,37,32,25,22,31,17,25,19,24,19,31,65,24,46,31
40900,Sacramento--Roseville--Arden-Arcade,California,SO2,99th Percentile,1,21,21,9,9,6,5,7,5,4,3,1,2,2,3,5,8,9,6,2,3,3,3
41500,Salinas,California,CO,2nd Max,1,1.4,1.4,1.2,1,1,0.8,0.9,1,0.8,0.9,0.8,0.9,1.3,0.8,1,0.9,0.9,0.8,0.9,0.8,1.2,1.2
41500,Salinas,California,NO2,Annual Mean,1,7,7,7,6,7,8,7,7,7,6,6,6,5,5,5,5,4,4,5,4,4,3
41500,Salinas,California,NO2,98th Percentile,1,35,35,38,33,37,39,37,35,34,34,31,34,35,36,32,28,24,27,29,26,25,23
41500,Salinas,California,O3,4th Max,2,0.059,0.062,0.061,0.063,0.066,0.055,0.057,0.056,0.06,0.057,0.058,0.056,0.052,0.055,0.061,0.057,0.054,0.056,0.052,0.056,0.051,0.052
41500,Salinas,California,PM2.5,Weighted Annual Mean,1,7.9,8.7,9.1,7.3,7,6.8,7.1,7,7.2,5.8,6.6,6.3,5.5,6.6,4.6,4.6,5.3,5.6,6.1,4.2,6.8,4.8
41500,Salinas,California,PM2.5,98th Percentile,1,22,22,23,14,16,14,13,16,14,14,14,14,13,16,12,12,13,17,29,10,44,13
41740,San Diego-Carlsbad,California,NO2,Annual Mean,3,15,15,15,15,13,13,13,12,11,10,9,9,8,8,8,7,6,6,6,6,6,6
41740,San Diego-Carlsbad,California,NO2,98th Percentile,3,64,63,63,66,62,55,57,53,54,49,45,42,41,40,42,38,38,38,36,33,34,35
41740,San Diego-Carlsbad,California,O3,4th Max,5,0.078,0.08,0.077,0.073,0.077,0.073,0.075,0.075,0.081,0.073,0.071,0.069,0.068,0.067,0.07,0.068,0.071,0.076,0.067,0.066,0.076,0.068
41740,San Diego-Carlsbad,California,PM10,2nd Max,1,45,49,45,65,43,50,49,51,38,52,41,34,36,35,37,36,42,40,38,36,55,44
41740,San Diego-Carlsbad,California,PM2.5,Weighted Annual Mean,1,13.1,15.5,13.9,14.4,12.2,11.8,11.2,12.6,12.3,11.4,9.6,9.9,10.3,9.5,9.3,8.4,8.7,9.3,10,8.1,10.7,9.5
41740,San Diego-Carlsbad,California,PM2.5,98th Percentile,1,33,31,36,39,31,30,24,36,28,22,19,19,24,18,19,19,18,29,29,17,31,24
41860,San Francisco-Oakland-Hayward,California,CO,2nd Max,5,2.5,2.5,2,1.9,1.6,1.5,1.5,1.4,1.4,1.3,1.1,1.1,1,1.1,1.1,1.1,1,1.2,1.6,0.9,1.6,0.9
41860,San Francisco-Oakland-Hayward,California,NO2,Annual Mean,6,16,16,16,15,14,13,13,12,12,11,10,11,10,11,10,9,8,9,9,8,7,6
41860,San Francisco-Oakland-Hayward,California,NO2,98th Percentile,6,50,52,50,49,45,44,46,45,45,41,44,47,43,44,45,38,36,41,45,37,34,31
41860,San Francisco-Oakland-Hayward,California,O3,4th Max,8,0.058,0.063,0.063,0.066,0.062,0.058,0.064,0.057,0.066,0.065,0.062,0.061,0.058,0.057,0.065,0.063,0.06,0.061,0.055,0.061,0.061,0.063
41860,San Francisco-Oakland-Hayward,California,PM10,2nd Max,3,46.3,66.7,61,37.3,42,35.3,52.3,51,36,31.3,32,34.3,37,34.7,31.3,29.3,22,42.2,53.7,33.7,46.7,25.7
41860,San Francisco-Oakland-Hayward,California,PM2.5,Weighted Annual Mean,4,11.2,11.6,12.9,9.4,10,9.1,9.6,8.6,9.6,9,8.4,8.5,7.5,9.2,7.2,7.7,7.3,9.8,11.7,7,10.5,7.3
41860,San Francisco-Oakland-Hayward,California,PM2.5,98th Percentile,4,49,63,55,33,36,35,39,39,30,31,27,26,22,28,22,26,16,33,71,17,53,20
41860,San Francisco-Oakland-Hayward,California,SO2,99th Percentile,5,21,21,23,19,19,18,21,19,19,12,11,12,9,9,12,9,9,10,11,10,8,8
41940,San Jose-Sunnyvale-Santa Clara,California,O3,4th Max,6,0.067,0.074,0.08,0.078,0.071,0.064,0.079,0.066,0.073,0.071,0.073,0.065,0.064,0.064,0.069,0.068,0.064,0.067,0.06,0.062,0.067,0.068
42020,San Luis Obispo-Paso Robles-Arroyo Grande,California,NO2,Annual Mean,1,6,6,5,5,5,4,4,4,4,3,3,3,2,3,2,3,2,2,2,2,2,1
42020,San Luis Obispo-Paso Robles-Arroyo Grande,California,NO2,98th Percentile,1,37,37,36,33,33,32,30,29,29,30,26,28,26,30,25,22,19,23,20,17,17,16
42020,San Luis Obispo-Paso Robles-Arroyo Grande,California,O3,4th Max,4,0.062,0.069,0.067,0.067,0.067,0.062,0.063,0.061,0.065,0.061,0.063,0.06,0.058,0.057,0.062,0.06,0.06,0.06,0.057,0.057,0.06,0.056
42020,San Luis Obispo-Paso Robles-Arroyo Grande,California,SO2,99th Percentile,1,99,110,114,100,106,104,102,71,28,5,4,4,5,53,4,3,2,0,1,1,2,2
42100,Santa Cruz-Watsonville,California,O3,4th Max,1,0.057,0.056,0.054,0.059,0.061,0.051,0.054,0.053,0.057,0.057,0.054,0.056,0.049,0.049,0.062,0.057,0.052,0.06,0.054,0.052,0.048,0.052
42100,Santa Cruz-Watsonville,California,PM2.5,Weighted Annual Mean,1,7.9,9.1,8.6,7.4,7.2,7,6.8,6.4,6.8,5.7,6.5,6.5,5.8,6.7,5.4,4.9,5.3,7.1,8.3,6.5,8.2,4.9
42100,Santa Cruz-Watsonville,California,PM2.5,98th Percentile,1,18,23,22,14,13,13,13,16,13,12,13,14,12,14,12,10,11,21,41,12,52,12
42200,Santa Maria-Santa Barbara,California,CO,2nd Max,2,1.1,1.1,1.2,1,0.9,0.8,1.3,1.1,1.1,0.7,0.5,0.6,0.6,0.6,0.6,0.5,3.2,1.3,0.7,0.5,0.7,0.6
42200,Santa Maria-Santa Barbara,California,NO2,Annual Mean,6,5,5,4,5,4,4,4,4,3,3,3,3,3,3,2,3,2,2,2,2,2,2
42200,Santa Maria-Santa Barbara,California,NO2,98th Percentile,5,21,20,19,21,18,16,16,16,15,13,13,13,13,13,11,11,9,11,11,10,9,8
42200,Santa Maria-Santa Barbara,California,O3,4th Max,8,0.066,0.065,0.063,0.067,0.07,0.06,0.061,0.064,0.065,0.066,0.063,0.058,0.058,0.058,0.066,0.06,0.059,0.058,0.054,0.056,0.057,0.051
42200,Santa Maria-Santa Barbara,California,PM2.5,Weighted Annual Mean,1,9.9,10.4,9.5,8.6,7.5,7.5,7.5,7.9,7.9,6.9,6.2,7.7,7.6,7.6,7.8,7.7,7,7.3,7,4.8,7.9,7.9
42200,Santa Maria-Santa Barbara,California,PM2.5,98th Percentile,1,19,23,19,16,13,13,13,16,15,14,13,15,17,16,15,16,15,17,19,12,36,36
42200,Santa Maria-Santa Barbara,California,SO2,99th Percentile,4,6,6,6,6,7,6,7,5,4,3,4,4,18,12,5,2,1,1,2,2,2,3
42220,Santa Rosa,California,O3,4th Max,1,0.061,0.065,0.065,0.058,0.06,0.05,0.056,0.06,0.058,0.051,0.053,0.056,0.058,0.055,0.062,0.059,0.055,0.062,0.055,0.052,0.052,0.052
42220,Santa Rosa,California,PM10,2nd Max,3,32.3,35.7,29.3,25,25.3,27.3,27.7,26.7,31.3,22,26,34.7,26,26.7,35,47.7,39,122,189.7,45.3,120,44.7
43760,Sonora,California,O3,4th Max,1,0.085,0.079,0.09,0.087,0.075,0.081,0.079,0.084,0.098,0.077,0.072,0.074,0.075,0.07,0.075,0.076,0.088,0.077,0.084,0.069,0.08,0.068
44700,Stockton-Lodi,California,NO2,Annual Mean,1,21,19,21,18,17,17,18,16,17,15,14,15,14,16,13,12,12,11,12,12,11,10
44700,Stockton-Lodi,California,NO2,98th Percentile,1,68,68,64,65,54,58,60,56,63,54,49,51,52,57,54,48,45,52,58,58,54,54
44700,Stockton-Lodi,California,O3,4th Max,1,0.076,0.076,0.074,0.075,0.073,0.073,0.083,0.075,0.077,0.07,0.07,0.066,0.072,0.064,0.071,0.069,0.066,0.065,0.068,0.065,0.067,0.057
44700,Stockton-Lodi,California,PM10,2nd Max,1,86,97,78,63,56,76,80,68,83,57,49,53,58,69,67,51,54,86,173,68,113,113
44700,Stockton-Lodi,California,PM2.5,Weighted Annual Mean,1,15.5,13.9,16.7,13.6,13.2,12.5,13.1,12.9,14.4,11.3,10.6,11.3,12.4,17.7,12.1,12.8,11.8,12.1,17.6,9.3,14,12.1
44700,Stockton-Lodi,California,PM2.5,98th Percentile,1,55,58,50,41,36,44,42,48,62,40,30,45,34,56,45,39,32,44,92,33,81,40
46020,Truckee-Grass Valley,California,O3,4th Max,1,0.1,0.095,0.099,0.101,0.093,0.093,0.096,0.088,0.091,0.083,0.077,0.076,0.075,0.078,0.081,0.084,0.086,0.09,0.095,0.072,0.08,0.09
46380,Ukiah,California,O3,4th Max,1,0.053,0.052,0.06,0.06,0.055,0.057,0.06,0.053,0.061,0.053,0.047,0.043,0.057,0.055,0.052,0.053,0.048,0.057,0.053,0.051,0.059,0.061
46380,Ukiah,California,PM2.5,Weighted Annual Mean,1,7.2,8,9.1,7.4,7,6.2,6.8,4.7,7.9,11.6,6.5,7.6,4.9,5.2,5.5,8.6,6.4,9.4,11.3,6,10.3,9
46380,Ukiah,California,PM2.5,98th Percentile,1,19,27,40,15,14,15,17,13,31,20,14,15,15,15,14,22,16,34,60,15,62,32
46700,Vallejo-Fairfield,California,CO,2nd Max,1,5,4.1,3.7,2.9,3.1,3,2.7,2.6,2,2.2,1.9,2.4,2.1,2,2,1.8,1.8,1.9,2.1,1.5,1.7,1.6
46700,Vallejo-Fairfield,California,NO2,Annual Mean,1,13,13,13,12,12,11,12,11,10,10,9,10,9,10,8,8,7,8,8,7,7,6
46700,Vallejo-Fairfield,California,NO2,98th Percentile,1,46,45,45,44,43,43,43,43,45,39,39,43,41,43,43,38,36,42,41,41,42,42
46700,Vallejo-Fairfield,California,O3,4th Max,2,0.059,0.066,0.068,0.071,0.067,0.056,0.067,0.058,0.068,0.067,0.065,0.065,0.062,0.058,0.064,0.066,0.063,0.06,0.053,0.059,0.063,0.064
46700,Vallejo-Fairfield,California,PM10,2nd Max,1,44,70,43,27,40,32,46,28,39,25,32,25,25,30,25,30,23,51,105,35,41,47
46700,Vallejo-Fairfield,California,PM2.5,Weighted Annual Mean,1,11.6,12.5,14,9.4,11.1,9.7,9.8,9.8,9.9,9.7,7.7,9.8,9,9.9,9.9,9.6,7.4,11.6,13.3,8.6,12,8.4
